Wavelength(nm),Irradiance_Mar_25-29
54.05,3.0139e-06
54.15,5.7955e-06
54.25,5.226e-06
54.35,7.4994e-06
54.45,4.0794e-06
54.55,9.2477e-07
54.65,7.2642e-07
54.75,1.01e-06
54.85,1.6151e-06
54.95,4.3662e-06
55.05,4.6597e-06
55.15,2.907e-06
55.25,9.254e-06
55.35,7.3073e-05
55.45,0.00017152
55.55,4.5999e-05
55.65,1.9473e-06
55.75,1.2333e-05
55.85,1.7535e-05
55.95,3.1289e-06
56.05,2.2579e-06
56.15,8.0924e-06
56.25,1.8862e-05
56.35,9.0862e-06
56.45,2.6899e-06
56.55,1.5009e-06
56.65,1.1912e-06
56.75,2.2235e-06
56.85,5.5011e-06
56.95,8.5544e-06
57.05,4.0984e-06
57.15,4.9258e-06
57.25,1.1186e-05
57.35,6.7941e-06
57.45,7.0865e-06
57.55,1.2232e-06
57.65,9.2898e-07
57.75,8.3771e-07
57.85,8.1512e-07
57.95,9.9746e-07
58.05,5.1899e-06
58.15,4.1995e-06
58.25,3.6921e-06
58.35,0.00012036
58.45,0.00041776
58.55,3.8549e-05
58.65,1.9052e-06
58.75,6.8357e-07
58.85,7.7878e-07
58.95,8.41e-07
59.05,8.2027e-07
59.15,1.4633e-06
59.25,2.272e-06
59.35,1.5507e-06
59.45,1.2969e-06
59.55,1.2663e-06
59.65,1.7987e-06
59.75,4.1835e-06
59.85,6.2237e-06
59.95,4.8544e-05
60.05,1.2378e-05
60.15,1.2282e-06
60.25,9.68e-07
60.35,9.7923e-07
60.45,1.0805e-06
60.55,8.4491e-07
60.65,8.3792e-07
60.75,4.5127e-06
60.85,2.5112e-05
60.95,0.00013729
61.05,6.7649e-05
61.15,1.6805e-06
61.25,9.148e-07
61.35,8.1288e-07
61.45,8.017e-07
61.55,1.6467e-06
61.65,5.5961e-06
61.75,3.0496e-06
61.85,8.4749e-07
61.95,9.04e-07
62.05,1.2949e-06
62.15,1.8174e-06
62.25,1.2567e-06
62.35,2.4294e-06
62.45,4.9577e-05
62.55,4.3286e-05
62.65,1.8958e-06
62.75,1.9141e-06
62.85,2.2021e-05
62.95,0.0004501
63.05,0.00017785
63.15,2.1001e-06
63.25,9.6336e-07
63.35,1.0404e-06
63.45,9.742e-07
63.55,1.223e-06
63.65,1.5074e-06
63.75,2.0555e-06
63.85,2.9779e-06
63.95,2.0446e-06
64.05,1.1251e-06
64.15,1.3563e-06
64.25,1.3335e-06
64.35,1.8995e-06
64.45,3.584e-06
64.55,1.7706e-06
64.65,1.0618e-06
64.75,1.0604e-06
64.85,1.4112e-06
64.95,1.637e-06
65.05,1.4951e-06
65.15,1.5381e-06
65.25,1.2657e-06
65.35,1.1852e-06
65.45,1.4464e-06
65.55,1.5258e-06
65.65,2.7522e-06
65.75,4.9925e-06
65.85,1.9535e-06
65.95,2.2229e-06
66.05,4.4618e-06
66.15,9.3428e-06
66.25,3.3075e-06
66.35,2.7558e-06
66.45,1.3673e-06
66.55,1.3497e-06
66.65,1.4918e-06
66.75,1.5678e-06
66.85,1.4942e-06
66.95,1.5924e-06
67.05,2.2239e-06
67.15,2.9059e-06
67.25,2.2402e-06
67.35,2.051e-06
67.45,1.8244e-06
67.55,1.8433e-06
67.65,3.0459e-06
67.75,2.6542e-06
67.85,2.8258e-06
67.95,2.6906e-06
68.05,6.129e-06
68.15,7.9462e-06
68.25,3.8811e-06
68.35,3.3334e-06
68.45,7.4385e-06
68.55,2.6619e-05
68.65,1.4365e-05
68.75,4.9524e-06
68.85,2.253e-06
68.95,2.9433e-06
69.05,4.3356e-06
69.15,3.0842e-06
69.25,2.3162e-06
69.35,3.7484e-06
69.45,6.8194e-06
69.55,3.4173e-06
69.65,3.3821e-06
69.75,2.9365e-06
69.85,2.4454e-06
69.95,3.8573e-06
70.05,5.4224e-06
70.15,7.2784e-06
70.25,4.1266e-05
70.35,5.4581e-05
70.45,2.3788e-05
70.55,8.2045e-06
70.65,9.3573e-06
70.75,2.4079e-06
70.85,2.7745e-06
70.95,3.0235e-06
71.05,3.499e-06
71.15,3.3576e-06
71.25,4.0056e-06
71.35,4.3873e-06
71.45,3.7263e-06
71.55,3.0928e-06
71.65,3.1139e-06
71.75,5.3579e-06
71.85,1.7717e-05
71.95,5.1679e-06
72.05,2.7742e-06
72.15,4.3127e-06
72.25,3.4328e-06
72.35,3.5046e-06
72.45,3.3457e-06
72.55,3.6273e-06
72.65,3.7773e-06
72.75,3.4957e-06
72.85,4.0231e-06
72.95,3.7908e-06
73.05,3.251e-06
73.15,3.5116e-06
73.25,4.174e-06
73.35,4.0966e-06
73.45,3.8532e-06
73.55,4.1947e-06
73.65,4.2413e-06
73.75,3.8816e-06
73.85,4.3846e-06
73.95,4.1138e-06
74.05,4.2491e-06
74.15,3.7267e-06
74.25,4.3302e-06
74.35,4.5875e-06
74.45,5.5065e-06
74.55,5.1819e-06
74.65,4.6107e-06
74.75,4.8113e-06
74.85,6.6916e-06
74.95,8.5407e-06
75.05,1.0313e-05
75.15,4.5344e-06
75.25,4.1981e-06
75.35,6.0544e-06
75.45,5.6013e-06
75.55,4.9485e-06
75.65,5.0055e-06
75.75,5.8445e-06
75.85,1.3194e-05
75.95,1.7079e-05
76.05,2.6674e-05
76.15,1.1061e-05
76.25,9.1991e-06
76.35,9.9547e-06
76.45,4.7607e-05
76.55,6.5308e-05
76.65,7.2104e-06
76.75,5.3496e-06
76.85,5.8292e-06
76.95,2.9328e-05
77.05,9.298e-05
77.15,1.6107e-05
77.25,7.7073e-06
77.35,5.9075e-06
77.45,7.5575e-06
77.55,8.4085e-06
77.65,8.5106e-06
77.75,7.3343e-06
77.85,7.0246e-06
77.95,2.2118e-05
78.05,4.9903e-05
78.15,1.0171e-05
78.25,7.9771e-06
78.35,7.5515e-06
78.45,8.1584e-06
78.55,1.3347e-05
78.65,4.1496e-05
78.75,6.6395e-05
78.85,1.9946e-05
78.95,5.4137e-05
79.05,9.9449e-05
79.15,1.122e-05
79.25,6.9936e-06
79.35,8.2164e-06
79.45,8.4359e-06
79.55,8.6252e-06
79.65,1.0219e-05
79.75,8.8571e-06
79.85,8.8658e-06
79.95,9.7173e-06
80.05,1.0176e-05
80.15,1.0225e-05
80.25,1.0152e-05
80.35,1.0109e-05
80.45,9.966e-06
80.55,9.9021e-06
80.65,1.1508e-05
80.75,1.1056e-05
80.85,1.1064e-05
80.95,1.1916e-05
81.05,1.1553e-05
81.15,1.1673e-05
81.25,1.2296e-05
81.35,1.2531e-05
81.45,1.1812e-05
81.55,1.3215e-05
81.65,1.2813e-05
81.75,1.31e-05
81.85,1.3775e-05
81.95,1.3766e-05
82.05,1.3725e-05
82.15,1.3877e-05
82.25,1.5093e-05
82.35,1.4967e-05
82.45,1.4469e-05
82.55,1.4378e-05
82.65,1.443e-05
82.75,1.5193e-05
82.85,1.5073e-05
82.95,1.6024e-05
83.05,1.587e-05
83.15,1.8411e-05
83.25,4.8499e-05
83.35,9.6346e-05
83.45,8.2803e-05
83.55,8.0225e-05
83.65,1.958e-05
83.75,1.684e-05
83.85,1.9277e-05
83.95,1.9361e-05
84.05,1.919e-05
84.15,1.8622e-05
84.25,1.9194e-05
84.35,2.0014e-05
84.45,2.0413e-05
84.55,2.0659e-05
84.65,2.1226e-05
84.75,2.0925e-05
84.85,2.1023e-05
84.95,2.2773e-05
85.05,2.1951e-05
85.15,2.2372e-05
85.25,2.2483e-05
85.35,2.2515e-05
85.45,2.4408e-05
85.55,2.4364e-05
85.65,2.3672e-05
85.75,2.4981e-05
85.85,2.8851e-05
85.95,2.622e-05
86.05,2.5784e-05
86.15,2.6729e-05
86.25,2.6539e-05
86.35,2.7122e-05
86.45,2.7441e-05
86.55,2.6696e-05
86.65,2.6754e-05
86.75,2.9107e-05
86.85,2.9136e-05
86.95,2.8868e-05
87.05,2.9454e-05
87.15,2.966e-05
87.25,2.9792e-05
87.35,2.9278e-05
87.45,2.9764e-05
87.55,3.1694e-05
87.65,3.2639e-05
87.75,3.1449e-05
87.85,3.2454e-05
87.95,3.3829e-05
88.05,3.5272e-05
88.15,3.4473e-05
88.25,3.6088e-05
88.35,3.611e-05
88.45,3.5524e-05
88.55,3.6536e-05
88.65,3.5887e-05
88.75,3.7128e-05
88.85,3.7784e-05
88.95,3.8178e-05
89.05,3.9371e-05
89.15,4.0616e-05
89.25,4.0606e-05
89.35,4.1517e-05
89.45,4.384e-05
89.55,4.6629e-05
89.65,4.1722e-05
89.75,4.2057e-05
89.85,4.4091e-05
89.95,4.3945e-05
90.05,4.5502e-05
90.15,4.8061e-05
90.25,5.0996e-05
90.35,7.3104e-05
90.45,7.2724e-05
90.55,4.8342e-05
90.65,4.8955e-05
90.75,4.9808e-05
90.85,5.1382e-05
90.95,5.2514e-05
91.05,5.3291e-05
91.15,5.2607e-05
91.25,5.2459e-05
91.35,4.9356e-05
91.45,4.4158e-05
91.55,4.0482e-05
91.65,3.981e-05
91.75,2.1809e-05
91.85,1.5638e-05
91.95,1.7332e-05
92.05,1.3558e-05
92.15,1.6489e-05
92.25,1.9221e-05
92.35,2.1719e-05
92.45,7.3192e-06
92.55,1.0467e-05
92.65,1.9504e-05
92.75,3.5089e-06
92.85,3.2007e-06
92.95,5.5369e-06
93.05,2.4827e-05
93.15,1.2479e-05
93.25,6.0233e-06
93.35,2.4048e-05
