wavelength_nm,intensity
266.27917,3.7126e-10
266.41647,3.7098e-10
266.55377,3.687e-10
266.69104,3.6891e-10
266.8283,3.7101e-10
266.9656,3.7176e-10
267.10287,3.7118e-10
267.24017,3.7282e-10
267.3774,3.703e-10
267.5147,3.6491e-10
267.65198,3.6353e-10
267.78925,3.5931e-10
267.92654,3.5276e-10
268.06378,3.6183e-10
268.20108,3.6619e-10
268.33835,3.669e-10
268.47562,3.6674e-10
268.61288,3.649e-10
268.75015,3.6155e-10
268.88742,3.6212e-10
269.0247,3.6517e-10
269.16196,3.6451e-10
269.29922,3.6421e-10
269.43646,3.6064e-10
269.57376,3.5724e-10
269.711,3.5626e-10
269.84827,3.5822e-10
269.98553,3.5958e-10
270.12277,3.604e-10
270.26004,3.6113e-10
270.3973,3.5924e-10
270.53458,3.5947e-10
270.6718,3.6016e-10
270.80908,3.5921e-10
270.94632,3.5871e-10
271.08356,3.5726e-10
271.22083,3.5867e-10
271.3581,3.5686e-10
271.49533,3.5743e-10
271.63257,3.5708e-10
271.76984,3.5767e-10
271.90707,3.5525e-10
272.0443,3.5414e-10
272.18158,3.5148e-10
272.3188,3.4686e-10
272.45605,3.4386e-10
272.5933,3.426e-10
272.73053,3.462e-10
272.86777,3.4901e-10
273.00504,3.4832e-10
273.14227,3.4036e-10
273.27948,3.212e-10
273.41672,3.0683e-10
273.55396,3.2211e-10
273.69122,3.3665e-10
273.82843,3.4408e-10
273.96567,3.4436e-10
274.1029,3.4585e-10
274.24014,3.4757e-10
274.37738,3.4751e-10
274.5146,3.463e-10
274.6518,3.4556e-10
274.78903,3.4435e-10
274.92627,3.4308e-10
275.0635,3.4312e-10
275.2007,3.4346e-10
275.33795,3.4442e-10
275.47516,3.4326e-10
275.61237,3.4235e-10
275.74957,3.4097e-10
275.8868,3.3859e-10
276.02402,3.4056e-10
276.16125,3.3896e-10
276.29846,3.3735e-10
276.43567,3.3232e-10
276.5729,3.3342e-10
276.7101,3.3811e-10
276.84732,3.3699e-10
276.98453,3.3751e-10
277.12173,3.3739e-10
277.25894,3.3753e-10
277.39615,3.3754e-10
277.53336,3.3596e-10
277.67056,3.3451e-10
277.80777,3.3173e-10
277.94495,3.3174e-10
278.08215,3.3219e-10
278.21936,3.3222e-10
278.35657,3.3065e-10
278.49374,3.2952e-10
278.63095,3.2803e-10
278.76813,3.2741e-10
278.90533,3.2512e-10
279.04254,3.2316e-10
279.17975,3.1811e-10
279.31693,3.1597e-10
279.4541,3.0042e-10
279.59128,2.6896e-10
279.7285,2.8192e-10
279.86566,3.01e-10
280.00287,3.0891e-10
280.14005,3.0915e-10
280.27722,2.8118e-10
280.4144,2.7907e-10
280.55157,3.1256e-10
280.68878,3.192e-10
280.82593,3.1937e-10
280.9631,3.163e-10
281.10028,3.181e-10
281.2375,3.2105e-10
281.37463,3.1998e-10
281.5118,3.1894e-10
281.649,3.2065e-10
281.78616,3.1975e-10
281.9233,3.1991e-10
282.0605,3.194e-10
282.19766,3.1854e-10
282.3348,3.1759e-10
282.472,3.1858e-10
282.60916,3.1832e-10
282.7463,3.1651e-10
282.88348,3.1189e-10
283.02063,3.0799e-10
283.15778,3.1267e-10
283.29495,3.1227e-10
283.4321,3.1371e-10
283.56927,3.1427e-10
283.7064,3.1003e-10
283.84357,3.1235e-10
283.9807,3.1454e-10
284.11786,3.1428e-10
284.255,3.1197e-10
284.39215,3.1197e-10
284.5293,3.1203e-10
284.66644,3.108e-10
284.8036,3.1036e-10
284.94073,3.0884e-10
285.07788,3.0298e-10
